"112年10月13日 外資及陸資買賣超彙總表"
"",,,"外資及陸資(不含外資自營商)",,,"外資自營商",,,"外資及陸資",,,
"","證券代號","證券名稱","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數",
" ",="060063","緯穎凱基46購04  ","134,000","4,000","130,000","0","0","0","134,000","4,000","130,000",
"*","5269  ","祥碩            ","483,000","353,050","129,950","0","0","0","483,000","353,050","129,950",
" ","8210  ","勤誠            ","1,921,000","1,793,000","128,000","0","0","0","1,921,000","1,793,000","128,000",
" ",="050056","上緯控元大49購01","125,000","0","125,000","0","0","0","125,000","0","125,000",
" ","1709  ","和益            ","140,000","15,000","125,000","0","0","0","140,000","15,000","125,000",
" ","2476  ","鉅祥            ","214,000","89,000","125,000","0","0","0","214,000","89,000","125,000",
" ","2354  ","鴻準            ","1,169,000","1,044,567","124,433","0","0","0","1,169,000","1,044,567","124,433",
" ","8016  ","矽創            ","331,000","207,000","124,000","0","0","0","331,000","207,000","124,000",
" ","6531  ","愛普*           ","1,795,100","1,675,000","120,100","0","0","0","1,795,100","1,675,000","120,100",
" ","1473  ","台南            ","144,000","24,000","120,000","0","0","0","144,000","24,000","120,000",
" ","1519  ","華城            ","1,798,000","1,680,000","118,000","0","0","0","1,798,000","1,680,000","118,000",
" ","4564  ","元翎            ","236,000","118,000","118,000","0","0","0","236,000","118,000","118,000",
" ","2358  ","廷鑫            ","239,000","123,000","116,000","0","0","0","239,000","123,000","116,000",
" ",="00830 ","國泰費城半導體  ","155,000","40,000","115,000","0","0","0","155,000","40,000","115,000",
" ","6491  ","晶碩            ","196,000","81,000","115,000","0","0","0","196,000","81,000","115,000",
" ",="00895 ","富邦未來車      ","114,000","1,000","113,000","0","0","0","114,000","1,000","113,000",
" ","6176  ","瑞儀            ","782,000","669,000","113,000","0","0","0","782,000","669,000","113,000",
" ","4526  ","東台            ","381,000","270,000","111,000","0","0","0","381,000","270,000","111,000",
" ","6196  ","帆宣            ","227,000","116,000","111,000","0","0","0","227,000","116,000","111,000",
" ",="00893 ","國泰智能電動車  ","181,000","71,000","110,000","0","0","0","181,000","71,000","110,000",
" ",="053524","漢翔群益45購01  ","188,000","78,000","110,000","0","0","0","188,000","78,000","110,000",
" ","9917  ","中保科          ","301,000","192,000","109,000","0","0","0","301,000","192,000","109,000",
" ","4961  ","天鈺            ","351,000","245,000","106,000","0","0","0","351,000","245,000","106,000",
" ","6672  ","騰輝電子-KY     ","328,000","224,000","104,000","0","0","0","328,000","224,000","104,000",
" ",="058533","英業達元大45購04","103,000","0","103,000","0","0","0","103,000","0","103,000",
" ","2006  ","東和鋼鐵        ","596,000","494,000","102,000","0","0","0","596,000","494,000","102,000",
" ",="00708L","期元大S&P黃金正2","101,000","0","101,000","0","0","0","101,000","0","101,000",
" ","2404  ","漢唐            ","602,171","502,100","100,071","0","0","0","602,171","502,100","100,071",
" ","1536  ","和大            ","224,000","124,000","100,000","0","0","0","224,000","124,000","100,000",
" ","8081  ","致新            ","292,000","193,000","99,000","0","0","0","292,000","193,000","99,000",
" ","3665  ","貿聯-KY         ","220,500","122,000","98,500","0","0","0","220,500","122,000","98,500",
" ",="00900 ","富邦特選高股息30","219,000","121,000","98,000","0","0","0","219,000","121,000","98,000",
" ","6592  ","和潤企業        ","110,000","14,000","96,000","0","0","0","110,000","14,000","96,000",
" ","2548  ","華固            ","159,000","63,779","95,221","0","0","0","159,000","63,779","95,221",
" ",="050055","上緯控元大47購01","212,000","118,000","94,000","0","0","0","212,000","118,000","94,000",
" ","2889  ","國票金          ","405,000","311,000","94,000","0","0","0","405,000","311,000","94,000",
" ","3209  ","全科            ","118,000","26,000","92,000","0","0","0","118,000","26,000","92,000",
" ","1708  ","東鹼            ","276,001","185,000","91,001","0","0","0","276,001","185,000","91,001",
" ","1721  ","三晃            ","177,000","86,000","91,000","0","0","0","177,000","86,000","91,000",
" ","1589  ","永冠-KY         ","187,000","97,000","90,000","0","0","0","187,000","97,000","90,000",
" ","8114  ","振樺電          ","195,000","106,000","89,000","0","0","0","195,000","106,000","89,000",
" ","6719  ","力智            ","839,100","751,000","88,100","0","0","0","839,100","751,000","88,100",
" ",="00643 ","群益深証中小    ","88,000","0","88,000","0","0","0","88,000","0","88,000",
" ","3588  ","通嘉            ","394,709","308,586","86,123","0","0","0","394,709","308,586","86,123",
" ","2488  ","漢平            ","300,000","215,000","85,000","0","0","0","300,000","215,000","85,000",
" ","3019  ","亞光            ","260,000","175,000","85,000","0","0","0","260,000","175,000","85,000",
" ","3705  ","永信            ","123,000","39,000","84,000","0","0","0","123,000","39,000","84,000",
" ","6191  ","精成科          ","950,000","866,000","84,000","0","0","0","950,000","866,000","84,000",
" ",="044682","群創元富44購01  ","82,000","0","82,000","0","0","0","82,000","0","82,000",
" ","2440  ","太空梭          ","90,000","9,000","81,000","0","0","0","90,000","9,000","81,000",
" ","3030  ","德律            ","166,000","85,000","81,000","0","0","0","166,000","85,000","81,000",
" ","6706  ","惠特            ","89,000","8,000","81,000","0","0","0","89,000","8,000","81,000",
" ","1560  ","中砂            ","717,000","638,000","79,000","0","0","0","717,000","638,000","79,000",
" ","6456  ","GIS-KY          ","142,000","63,000","79,000","0","0","0","142,000","63,000","79,000",
" ","6670  ","復盛應用        ","228,000","149,000","79,000","0","0","0","228,000","149,000","79,000",
" ",="046677","智原元大43購11  ","156,000","78,000","78,000","0","0","0","156,000","78,000","78,000",
" ",="046683","景碩元大43購13  ","78,000","0","78,000","0","0","0","78,000","0","78,000",
" ",="060538","臺股指凱基4A購09","156,000","78,000","78,000","0","0","0","156,000","78,000","78,000",
" ","1217  ","愛之味          ","381,000","303,000","78,000","0","0","0","381,000","303,000","78,000",
" ","2302  ","麗正            ","117,000","40,000","77,000","0","0","0","117,000","40,000","77,000",
" ","1103  ","嘉泥            ","104,000","28,000","76,000","0","0","0","104,000","28,000","76,000",
" ","1522  ","堤維西          ","1,863,000","1,787,000","76,000","0","0","0","1,863,000","1,787,000","76,000",
" ","1558  ","伸興            ","86,000","11,000","75,000","0","0","0","86,000","11,000","75,000",
" ","1537  ","廣隆            ","89,000","15,000","74,000","0","0","0","89,000","15,000","74,000",
" ","2108  ","南帝            ","171,000","97,000","74,000","0","0","0","171,000","97,000","74,000",
" ","3041  ","揚智            ","130,000","56,000","74,000","0","0","0","130,000","56,000","74,000",
